Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,10.51,10.59,9.9,10.0,6.8157322E7,0.0,1.0,10.51,10.59,9.9,10.0,6.8157322E7
2018-03-26,10.71,10.8,10.18,10.44,7.5239343E7,0.0,1.0,10.71,10.8,10.18,10.44,7.5239343E7
2018-03-23,10.91,10.97,10.57,10.63,5.4661263E7,0.0,1.0,10.91,10.97,10.57,10.63,5.4661263E7
2018-03-22,11.1,11.26,10.85,10.91,5.956961E7,0.0,1.0,11.1,11.26,10.85,10.91,5.956961E7
2018-03-21,11.16,11.34,11.11,11.26,4.4453537E7,0.0,1.0,11.16,11.34,11.11,11.26,4.4453537E7
2018-03-20,11.41,11.52,11.0,11.11,6.4277926E7,0.0,1.0,11.41,11.52,11.0,11.11,6.4277926E7
2018-03-19,11.41,11.74,11.350999999999999,11.43,5.3034019E7,0.0,1.0,11.41,11.74,11.350999999999999,11.43,5.3034019E7
2018-03-16,11.49,11.55,11.32,11.47,3.6335291E7,0.0,1.0,11.49,11.55,11.32,11.47,3.6335291E7
2018-03-15,11.43,11.55,11.19,11.46,6.2979274E7,0.0,1.0,11.43,11.55,11.19,11.46,6.2979274E7
2018-03-14,11.7,11.72,11.26,11.36,7.9249146E7,0.0,1.0,11.7,11.72,11.26,11.36,7.9249146E7
2018-03-13,11.5,12.035,11.095,11.635,1.73734863E8,0.0,1.0,11.5,12.035,11.095,11.635,1.73734863E8
2018-03-12,11.76,11.82,11.48,11.52,8.326683E7,0.0,1.0,11.76,11.82,11.48,11.52,8.326683E7
2018-03-09,12.03,12.0392,11.58,11.7,8.8671179E7,0.0,1.0,12.03,12.0392,11.58,11.7,8.8671179E7
2018-03-08,12.395,12.59,11.74,11.97,7.5412079E7,0.0,1.0,12.395,12.59,11.74,11.97,7.5412079E7
2018-03-07,11.58,12.82,11.55,12.24,1.27603194E8,0.0,1.0,11.58,12.82,11.55,12.24,1.27603194E8
2018-03-06,12.01,12.045,11.71,11.76,4.6751179E7,0.0,1.0,12.01,12.045,11.71,11.76,4.6751179E7
2018-03-05,11.69,12.055,11.61,11.91,4.3734836E7,0.0,1.0,11.69,12.055,11.61,11.91,4.3734836E7
2018-03-02,11.67,11.93,11.43,11.81,5.8123518E7,0.0,1.0,11.67,11.93,11.43,11.81,5.8123518E7
2018-03-01,12.26,12.27,11.66,11.9,6.3207377E7,0.0,1.0,12.26,12.27,11.66,11.9,6.3207377E7
2018-02-28,12.66,12.73,12.1,12.11,4.3024362E7,0.0,1.0,12.66,12.73,12.1,12.11,4.3024362E7
2018-02-27,12.43,12.88,12.39,12.53,5.5068108E7,0.0,1.0,12.43,12.88,12.39,12.53,5.5068108E7
2018-02-26,12.14,12.43,12.05,12.42,4.1830973E7,0.0,1.0,12.14,12.43,12.05,12.42,4.1830973E7
2018-02-23,11.95,12.16,11.94,12.07,3.2964802E7,0.0,1.0,11.95,12.16,11.94,12.07,3.2964802E7
2018-02-22,11.82,11.995,11.63,11.84,3.7579666E7,0.0,1.0,11.82,11.995,11.63,11.84,3.7579666E7
2018-02-21,12.12,12.12,11.72,11.72,3.9840153E7,0.0,1.0,12.12,12.12,11.72,11.72,3.9840153E7
2018-02-20,11.72,12.19,11.71,12.02,4.6430056E7,0.0,1.0,11.72,12.19,11.71,12.02,4.6430056E7
2018-02-16,12.11,12.225,11.82,11.82,4.5980623E7,0.0,1.0,12.11,12.225,11.82,11.82,4.5980623E7
2018-02-15,12.4,12.625,12.07,12.181,5.7497914E7,0.0,1.0,12.4,12.625,12.07,12.181,5.7497914E7
2018-02-14,11.72,12.31,11.63,12.2,5.1529646E7,0.0,1.0,11.72,12.31,11.63,12.2,5.1529646E7
2018-02-13,11.6,11.82,11.53,11.78,3.2126468E7,0.0,1.0,11.6,11.82,11.53,11.78,3.2126468E7
2018-02-12,11.47,11.8,11.43,11.68,6.269558E7,0.0,1.0,11.47,11.8,11.43,11.68,6.269558E7
2018-02-09,11.54,11.57,10.63,11.305,8.3500016E7,0.0,1.0,11.54,11.57,10.63,11.305,8.3500016E7
2018-02-08,11.72,11.85,11.21,11.215,5.4139669E7,0.0,1.0,11.72,11.85,11.21,11.215,5.4139669E7
2018-02-07,11.7,11.9,11.53,11.6,5.5325484E7,0.0,1.0,11.7,11.9,11.53,11.6,5.5325484E7
2018-02-06,11.04,11.74,11.0,11.64,8.5817061E7,0.0,1.0,11.04,11.74,11.0,11.64,8.5817061E7
2018-02-05,12.05,12.18,10.93,11.53,1.10561931E8,0.0,1.0,12.05,12.18,10.93,11.53,1.10561931E8
2018-02-02,13.05,13.06,12.43,12.45,7.6774701E7,0.0,1.0,13.05,13.06,12.43,12.45,7.6774701E7
2018-02-01,13.62,13.84,13.21,13.25,6.6528817E7,0.0,1.0,13.62,13.84,13.21,13.25,6.6528817E7
2018-01-31,13.24,13.85,13.15,13.735,1.39842965E8,0.0,1.0,13.24,13.85,13.15,13.735,1.39842965E8
2018-01-30,13.12,13.27,12.69,12.865,6.5116734E7,0.0,1.0,13.12,13.27,12.69,12.865,6.5116734E7
2018-01-29,13.13,13.47,13.05,13.32,6.5821254E7,0.0,1.0,13.13,13.47,13.05,13.32,6.5821254E7
2018-01-26,12.7,12.95,12.62,12.95,4.3419449E7,0.0,1.0,12.7,12.95,12.62,12.95,4.3419449E7
2018-01-25,12.78,12.94,12.32,12.41,4.167969E7,0.0,1.0,12.78,12.94,12.32,12.41,4.167969E7
2018-01-24,13.02,13.05,12.6,12.71,4.1540864E7,0.0,1.0,13.02,13.05,12.6,12.71,4.1540864E7
2018-01-23,12.82,12.995,12.76,12.94,4.6005571E7,0.0,1.0,12.82,12.995,12.76,12.94,4.6005571E7
2018-01-22,12.61,12.74,12.37,12.64,3.4419605E7,0.0,1.0,12.61,12.74,12.37,12.64,3.4419605E7
2018-01-19,12.56,12.88,12.54,12.59,4.5638452E7,0.0,1.0,12.56,12.88,12.54,12.59,4.5638452E7
2018-01-18,12.18,12.68,12.15,12.47,6.1621147E7,0.0,1.0,12.18,12.68,12.15,12.47,6.1621147E7
2018-01-17,11.9,12.19,11.82,12.18,3.856369E7,0.0,1.0,11.9,12.19,11.82,12.18,3.856369E7
2018-01-16,12.05,12.2,11.8,11.91,4.1596214E7,0.0,1.0,12.05,12.2,11.8,11.91,4.1596214E7
2018-01-12,11.82,12.07,11.8,12.02,4.6862584E7,0.0,1.0,11.82,12.07,11.8,12.02,4.6862584E7
2018-01-11,12.07,12.19,11.9001,12.1404,3.3904455E7,0.0,1.0,12.07,12.19,11.9001,12.1404,3.3904455E7
2018-01-10,11.63,12.15,11.56,11.96,5.1025659E7,0.0,1.0,11.63,12.15,11.56,11.96,5.1025659E7
2018-01-09,12.0,12.02,11.71,11.82,6.2071489E7,0.0,1.0,12.0,12.02,11.71,11.82,6.2071489E7
2018-01-08,12.01,12.3,11.85,12.28,6.2896703E7,0.0,1.0,12.01,12.3,11.85,12.28,6.2896703E7
2018-01-05,12.19,12.22,11.66,11.88,6.3187983E7,0.0,1.0,12.19,12.22,11.66,11.88,6.3187983E7
2018-01-04,12.095,12.43,11.97,12.12,1.08512405E8,0.0,1.0,12.095,12.43,11.97,12.12,1.08512405E8
