Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,13.52,13.52,13.1,13.18,152066.0,0.0,1.0,13.52,13.52,13.1,13.18,152066.0
2018-03-26,13.36,13.58,12.329,13.49,243458.0,0.0,1.0,13.36,13.58,12.329,13.49,243458.0
2018-03-23,13.64,13.72,13.25,13.25,205583.0,0.0,1.0,13.64,13.72,13.25,13.25,205583.0
2018-03-22,13.61,13.91,13.59,13.595,212480.0,0.0,1.0,13.61,13.91,13.59,13.595,212480.0
2018-03-21,13.82,13.87,13.58,13.75,125330.0,0.0,1.0,13.82,13.87,13.58,13.75,125330.0
2018-03-20,13.94,13.99,13.49,13.83,124476.0,0.0,1.0,13.94,13.99,13.49,13.83,124476.0
2018-03-19,13.72,13.97,13.5,13.94,150045.0,0.0,1.0,13.72,13.97,13.5,13.94,150045.0
2018-03-16,13.7,13.88,13.22,13.76,532297.0,0.0,1.0,13.7,13.88,13.22,13.76,532297.0
2018-03-15,13.89,13.915,13.67,13.75,138863.0,0.0,1.0,13.89,13.915,13.67,13.75,138863.0
2018-03-14,13.85,14.01,13.64,13.85,185561.0,0.0,1.0,13.85,14.01,13.64,13.85,185561.0
2018-03-13,14.12,14.14,13.72,13.77,167899.0,0.0,1.0,14.12,14.14,13.72,13.77,167899.0
2018-03-12,14.1,14.26,14.02,14.1,255817.0,0.0,1.0,14.1,14.26,14.02,14.1,255817.0
2018-03-09,14.0,14.33,13.92,14.08,355808.0,0.0,1.0,14.0,14.33,13.92,14.08,355808.0
2018-03-08,14.13,14.14,13.68,13.96,430871.0,0.0,1.0,14.13,14.14,13.68,13.96,430871.0
2018-03-07,13.7,14.22,13.45,14.14,531283.0,0.0,1.0,13.7,14.22,13.45,14.14,531283.0
2018-03-06,13.66,13.89,13.45,13.8,296722.0,0.0,1.0,13.66,13.89,13.45,13.8,296722.0
2018-03-05,13.32,13.73,13.31,13.58,410183.0,0.0,1.0,13.32,13.73,13.31,13.58,410183.0
2018-03-02,12.77,13.465,12.61,13.37,357489.0,0.0,1.0,12.77,13.465,12.61,13.37,357489.0
2018-03-01,13.13,13.28,12.79,12.82,240046.0,0.0,1.0,13.13,13.28,12.79,12.82,240046.0
2018-02-28,13.35,13.41,12.66,13.23,263215.0,0.0,1.0,13.35,13.41,12.66,13.23,263215.0
2018-02-27,13.64,13.68,13.15,13.26,189835.0,0.0,1.0,13.64,13.68,13.15,13.26,189835.0
2018-02-26,13.45,13.82,13.3656,13.69,368221.0,0.0,1.0,13.45,13.82,13.3656,13.69,368221.0
2018-02-23,13.65,13.65,13.04,13.28,262633.0,0.0,1.0,13.65,13.65,13.04,13.28,262633.0
2018-02-22,12.44,13.7801,11.550999999999998,13.71,763079.0,0.0,1.0,12.44,13.7801,11.550999999999998,13.71,763079.0
2018-02-21,11.73,12.07,11.66,11.91,180490.0,0.0,1.0,11.73,12.07,11.66,11.91,180490.0
2018-02-20,11.8,11.95,11.64,11.74,148877.0,0.0,1.0,11.8,11.95,11.64,11.74,148877.0
2018-02-16,12.0,12.19,11.86,11.9,174941.0,0.0,1.0,12.0,12.19,11.86,11.9,174941.0
2018-02-15,11.95,12.02,11.73,11.93,107236.0,0.0,1.0,11.95,12.02,11.73,11.93,107236.0
2018-02-14,11.58,12.02,11.58,11.92,147342.0,0.0,1.0,11.58,12.02,11.58,11.92,147342.0
2018-02-13,11.63,11.8,11.62,11.73,85781.0,0.0,1.0,11.63,11.8,11.62,11.73,85781.0
2018-02-12,11.74,11.865,11.6,11.73,155079.0,0.0,1.0,11.74,11.865,11.6,11.73,155079.0
2018-02-09,11.71,11.81,11.38,11.72,200706.0,0.0,1.0,11.71,11.81,11.38,11.72,200706.0
2018-02-08,12.18,12.18,11.54,11.555,158705.0,0.0,1.0,12.18,12.18,11.54,11.555,158705.0
2018-02-07,11.93,12.72,11.84,12.15,316934.0,0.0,1.0,11.93,12.72,11.84,12.15,316934.0
2018-02-06,11.8,12.05,11.54,11.97,326531.0,0.0,1.0,11.8,12.05,11.54,11.97,326531.0
2018-02-05,12.21,12.549000000000001,11.8601,12.0,197665.0,0.0,1.0,12.21,12.549000000000001,11.8601,12.0,197665.0
2018-02-02,12.29,12.37,12.151,12.3,172225.0,0.0,1.0,12.29,12.37,12.151,12.3,172225.0
2018-02-01,12.36,12.49,12.24,12.4,118007.0,0.0,1.0,12.36,12.49,12.24,12.4,118007.0
2018-01-31,12.36,12.47,12.25,12.4,177884.0,0.0,1.0,12.36,12.47,12.25,12.4,177884.0
2018-01-30,12.3,12.34,12.06,12.28,202045.0,0.0,1.0,12.3,12.34,12.06,12.28,202045.0
2018-01-29,12.55,12.55,12.35,12.39,119534.0,0.0,1.0,12.55,12.55,12.35,12.39,119534.0
2018-01-26,12.64,12.65,12.42,12.61,322254.0,0.0,1.0,12.64,12.65,12.42,12.61,322254.0
2018-01-25,12.57,12.66,12.41,12.63,362236.0,0.0,1.0,12.57,12.66,12.41,12.63,362236.0
2018-01-24,12.57,12.76,12.4801,12.5,188037.0,0.0,1.0,12.57,12.76,12.4801,12.5,188037.0
2018-01-23,12.29,12.549000000000001,12.24,12.48,172650.0,0.0,1.0,12.29,12.549000000000001,12.24,12.48,172650.0
2018-01-22,12.32,12.4,12.21,12.35,102752.0,0.0,1.0,12.32,12.4,12.21,12.35,102752.0
2018-01-19,12.2,12.41,12.09,12.39,190590.0,0.0,1.0,12.2,12.41,12.09,12.39,190590.0
2018-01-18,12.37,12.47,12.22,12.22,88389.0,0.0,1.0,12.37,12.47,12.22,12.22,88389.0
2018-01-17,12.4,12.48,12.25,12.38,166646.0,0.0,1.0,12.4,12.48,12.25,12.38,166646.0
2018-01-16,12.66,12.69,12.29,12.33,193585.0,0.0,1.0,12.66,12.69,12.29,12.33,193585.0
2018-01-12,12.54,12.69,12.41,12.63,296936.0,0.0,1.0,12.54,12.69,12.41,12.63,296936.0
2018-01-11,12.45,12.62,12.36,12.51,172445.0,0.0,1.0,12.45,12.62,12.36,12.51,172445.0
2018-01-10,12.6,12.65,12.35,12.42,219117.0,0.0,1.0,12.6,12.65,12.35,12.42,219117.0
2018-01-09,12.27,12.54,12.06,12.52,362926.0,0.0,1.0,12.27,12.54,12.06,12.52,362926.0
2018-01-08,12.2,12.32,12.02,12.26,192757.0,0.0,1.0,12.2,12.32,12.02,12.26,192757.0
2018-01-05,12.09,12.24,11.9539,12.2,352939.0,0.0,1.0,12.09,12.24,11.9539,12.2,352939.0
2018-01-04,12.37,12.41,12.065,12.07,460722.0,0.0,1.0,12.37,12.41,12.065,12.07,460722.0
2018-01-03,12.52,12.52,12.05,12.3,241280.0,0.0,1.0,12.52,12.52,12.05,12.3,241280.0
2018-01-02,12.08,12.61,12.07,12.51,340063.0,0.0,1.0,12.08,12.61,12.07,12.51,340063.0
2017-12-29,12.14,12.17,11.96,12.08,295706.0,0.0,1.0,12.14,12.17,11.96,12.08,295706.0
2017-12-28,12.39,12.39,12.09,12.13,212508.0,0.0,1.0,12.39,12.39,12.09,12.13,212508.0
2017-12-27,12.24,12.5,12.17,12.4,172396.0,0.0,1.0,12.24,12.5,12.17,12.4,172396.0
2017-12-26,12.25,12.35,12.14,12.2,183217.0,0.0,1.0,12.25,12.35,12.14,12.2,183217.0
2017-12-22,12.46,12.46,12.19,12.23,133648.0,0.0,1.0,12.46,12.46,12.19,12.23,133648.0
2017-12-21,12.43,12.6,12.32,12.44,108463.0,0.0,1.0,12.43,12.6,12.32,12.44,108463.0
2017-12-20,12.6,12.61,12.41,12.42,120198.0,0.0,1.0,12.6,12.61,12.41,12.42,120198.0
2017-12-19,12.62,12.75,12.48,12.56,186022.0,0.0,1.0,12.62,12.75,12.48,12.56,186022.0
2017-12-18,12.6,12.9,12.54,12.6,207618.0,0.0,1.0,12.6,12.9,12.54,12.6,207618.0
2017-12-15,12.39,12.73,12.38,12.58,846883.0,0.0,1.0,12.39,12.73,12.38,12.58,846883.0
2017-12-14,12.31,12.52,12.29,12.41,285336.0,0.0,1.0,12.31,12.52,12.29,12.41,285336.0
2017-12-13,12.5,12.64,12.35,12.35,211670.0,0.0,1.0,12.5,12.64,12.35,12.35,211670.0
2017-12-12,12.71,12.74,12.49,12.54,152863.0,0.0,1.0,12.71,12.74,12.49,12.54,152863.0
2017-12-11,12.74,12.8,12.561,12.64,192878.0,0.0,1.0,12.74,12.8,12.561,12.64,192878.0
2017-12-08,12.95,12.99,12.73,12.75,169931.0,0.0,1.0,12.95,12.99,12.73,12.75,169931.0
2017-12-07,13.19,13.21,12.83,12.89,261573.0,0.0,1.0,13.19,13.21,12.83,12.89,261573.0
2017-12-06,13.0,13.29,12.92,13.22,422012.0,0.0,1.0,13.0,13.29,12.92,13.22,422012.0
2017-12-05,12.82,13.07,12.7,13.04,326280.0,0.0,1.0,12.82,13.07,12.7,13.04,326280.0
2017-12-04,13.15,13.15,12.82,12.83,177273.0,0.0,1.0,13.15,13.15,12.82,12.83,177273.0
2017-12-01,13.25,13.25,12.65,13.11,206773.0,0.0,1.0,13.25,13.25,12.65,13.11,206773.0
2017-11-30,13.65,13.9238,13.14,13.27,262567.0,0.0,1.0,13.65,13.9238,13.14,13.27,262567.0
2017-11-29,13.41,13.61,13.34,13.52,319671.0,0.0,1.0,13.41,13.61,13.34,13.52,319671.0
2017-11-28,13.16,13.36,13.05,13.3,320526.0,0.0,1.0,13.16,13.36,13.05,13.3,320526.0
2017-11-27,13.12,13.151,13.0,13.13,296883.0,0.0,1.0,13.12,13.151,13.0,13.13,296883.0
2017-11-24,13.1,13.15,13.0,13.12,126211.0,0.0,1.0,13.1,13.15,13.0,13.12,126211.0
