Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,156.31,162.85,150.75,152.19,7.6787884E7,0.0,1.0,156.31,162.85,150.75,152.19,7.6787884E7
2018-03-26,160.82,161.1,149.02,160.06,1.25438294E8,0.0,1.0,160.82,161.1,149.02,160.06,1.25438294E8
2018-03-23,165.44,167.1,159.02,159.39,5.2306891E7,0.0,1.0,165.44,167.1,159.02,159.39,5.2306891E7
2018-03-22,166.13,170.27,163.72,164.89,7.3389988E7,0.0,1.0,166.13,170.27,163.72,164.89,7.3389988E7
2018-03-21,164.8,173.4,163.3,169.39,1.05350867E8,0.0,1.0,164.8,173.4,163.3,169.39,1.05350867E8
2018-03-20,167.47,170.2,161.95,168.15,1.28925534E8,0.0,1.0,167.47,170.2,161.95,168.15,1.28925534E8
2018-03-19,177.01,177.17,170.06,172.56,8.6897749E7,0.0,1.0,177.01,177.17,170.06,172.56,8.6897749E7
2018-03-16,184.49,185.33,183.41,185.09,2.309048E7,0.0,1.0,184.49,185.33,183.41,185.09,2.309048E7
2018-03-15,183.24,184.0,182.19,183.86,1.5461869E7,0.0,1.0,183.24,184.0,182.19,183.86,1.5461869E7
2018-03-14,182.6,184.25,181.85,184.19,1.6426843E7,0.0,1.0,182.6,184.25,181.85,184.19,1.6426843E7
2018-03-13,185.61,185.99,181.11,181.88,1.7742312E7,0.0,1.0,185.61,185.99,181.11,181.88,1.7742312E7
2018-03-12,185.23,186.1,184.22,184.76,1.4873538E7,0.0,1.0,185.23,186.1,184.22,184.76,1.4873538E7
2018-03-09,183.91,185.51,183.21,185.23,1.7952177E7,0.0,1.0,183.91,185.51,183.21,185.23,1.7952177E7
2018-03-08,183.56,184.4,181.45,182.34,1.5336555E7,0.0,1.0,183.56,184.4,181.45,182.34,1.5336555E7
2018-03-07,178.74,183.82,178.07,183.71,1.9097293E7,0.0,1.0,178.74,183.82,178.07,183.71,1.9097293E7
