Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,111.07,111.69,107.3,108.17,1.7889027E7,0.0,1.0,111.07,111.69,107.3,108.17,1.7889027E7
2018-03-26,109.19,111.16,108.645,110.31,1.9970585E7,0.0,1.0,109.19,111.16,108.645,110.31,1.9970585E7
2018-03-23,110.27,110.92,106.76,107.01,2.2802836E7,0.0,1.0,110.27,110.92,106.76,107.01,2.2802836E7
2018-03-22,113.2,113.6,109.54,109.95,2.1841249E7,0.0,1.0,113.2,113.6,109.54,109.95,2.1841249E7
2018-03-21,114.81,116.63,114.21,114.74,1.3357632E7,0.0,1.0,114.81,116.63,114.21,114.74,1.3357632E7
2018-03-20,114.87,115.445,114.445,114.64,9795545.0,0.0,1.0,114.87,115.445,114.445,114.64,9795545.0
2018-03-19,115.1,115.45,113.3,114.53,1.1616894E7,0.0,1.0,115.1,115.45,113.3,114.53,1.1616894E7
2018-03-16,115.34,116.6015,115.34,115.44,1.9466307E7,0.0,1.0,115.34,116.6015,115.34,115.44,1.9466307E7
2018-03-15,115.87,116.0,114.83,115.24,8735890.0,0.0,1.0,115.87,116.0,114.83,115.24,8735890.0
2018-03-14,116.56,116.59,114.6,114.95,1.2889657E7,0.0,1.0,116.56,116.59,114.6,114.95,1.2889657E7
2018-03-13,118.2,118.47,115.83,116.25,1.32421E7,0.0,1.0,118.2,118.47,115.83,116.25,1.32421E7
2018-03-12,118.0,118.75,117.25,117.66,1.2031063E7,0.0,1.0,118.0,118.75,117.25,117.66,1.2031063E7
2018-03-09,116.55,118.08,115.67,118.04,1.4348484E7,0.0,1.0,116.55,118.08,115.67,118.04,1.4348484E7
2018-03-08,115.11,115.23,113.21,114.74,1.1006186E7,0.0,1.0,115.11,115.23,113.21,114.74,1.1006186E7
2018-03-07,113.75,115.1,113.11,114.73,1.3006514E7,0.0,1.0,113.75,115.1,113.11,114.73,1.3006514E7
2018-03-06,115.64,115.82,114.32,115.16,1.0657902E7,0.0,1.0,115.64,115.82,114.32,115.16,1.0657902E7
2018-03-05,112.05,115.925,111.89,115.06,1.3933039E7,0.0,1.0,112.05,115.925,111.89,115.06,1.3933039E7
2018-03-02,112.39,113.56,111.12,113.32,1.8353697E7,0.0,1.0,112.39,113.56,111.12,113.32,1.8353697E7
2018-03-01,115.48,116.6427,112.65,113.43,1.8690017E7,0.0,1.0,115.48,116.6427,112.65,113.43,1.8690017E7
2018-02-28,117.82,118.49,115.34,115.5,1.7420742E7,0.0,1.0,117.82,118.49,115.34,115.5,1.7420742E7
2018-02-27,118.91,119.33,117.35,117.36,1.7209324E7,0.0,1.0,118.91,119.33,117.35,117.36,1.7209324E7
2018-02-26,118.14,118.9,117.32,118.77,1.6288996E7,0.0,1.0,118.14,118.9,117.32,118.77,1.6288996E7
2018-02-23,115.31,117.39,115.31,117.31,1.1530334E7,0.0,1.0,115.31,117.39,115.31,117.31,1.1530334E7
2018-02-22,115.5,116.425,114.76,114.98,1.6948646E7,0.0,1.0,115.5,116.425,114.76,114.98,1.6948646E7
2018-02-21,115.0,117.45,114.67,115.19,1.417855E7,0.0,1.0,115.0,117.45,114.67,115.19,1.417855E7
2018-02-20,114.65,115.39,113.97,114.71,1.3081905E7,0.0,1.0,114.65,115.39,113.97,114.71,1.3081905E7
2018-02-16,114.55,116.07,114.5,114.68,1.3134927E7,0.0,1.0,114.55,116.07,114.5,114.68,1.3134927E7
2018-02-15,115.74,115.985,114.22,115.51,1.1861147E7,0.0,1.0,115.74,115.985,114.22,115.51,1.1861147E7
2018-02-14,112.63,115.27,112.53,115.03,1.5120013E7,0.0,1.0,112.63,115.27,112.53,115.03,1.5120013E7
2018-02-13,111.32,113.05,110.8,112.43,1.6058124E7,0.0,1.0,111.32,113.05,110.8,112.43,1.6058124E7
2018-02-12,111.17,112.725,110.07,111.74,1.7798897E7,0.0,1.0,111.17,112.725,110.07,111.74,1.7798897E7
2018-02-09,109.1,111.05,106.2299,110.04,2.8113646E7,0.0,1.0,109.1,111.05,106.2299,110.04,2.8113646E7
2018-02-08,113.11,113.11,107.84,107.88,2.6991043E7,0.0,1.0,113.11,113.11,107.84,107.88,2.6991043E7
2018-02-07,111.55,114.45,111.146,112.87,2.166708E7,0.0,1.0,111.55,114.45,111.146,112.87,2.166708E7
2018-02-06,106.85,112.48,106.61,112.11,3.247581E7,0.0,1.0,106.85,112.48,106.61,112.11,3.247581E7
2018-02-05,113.0,114.59,103.98,108.8,2.887014E7,0.0,1.0,113.0,114.59,103.98,108.8,2.887014E7
2018-02-02,116.49,116.92,114.09,114.28,1.6301339E7,0.0,1.0,116.49,116.92,114.09,114.28,1.6301339E7
2018-02-01,115.77,116.985,115.48,116.87,1.3683672E7,0.0,1.0,115.77,116.985,115.48,116.87,1.3683672E7
2018-01-31,115.65,116.66,115.16,115.67,1.3079792E7,0.0,1.0,115.65,116.66,115.16,115.67,1.3079792E7
2018-01-30,115.53,116.6,114.98,115.11,1.3876672E7,0.0,1.0,115.53,116.6,114.98,115.11,1.3876672E7
2018-01-29,116.02,117.3529,116.02,116.2,1.1012943E7,0.0,1.0,116.02,117.3529,116.02,116.2,1.1012943E7
2018-01-26,115.7,116.32,114.96,116.32,1.200803E7,0.0,1.0,115.7,116.32,114.96,116.32,1.200803E7
2018-01-25,116.04,116.17,115.075,115.7,1.2406626E7,0.0,1.0,116.04,116.17,115.075,115.7,1.2406626E7
2018-01-24,114.86,116.0,114.66,115.67,1.4736484E7,0.0,1.0,114.86,116.0,114.66,115.67,1.4736484E7
2018-01-23,113.67,114.64,113.35,114.21,1.184869E7,0.0,1.0,113.67,114.64,113.35,114.21,1.184869E7
2018-01-22,112.66,114.39,112.5,114.33,1.1904339E7,0.0,1.0,112.66,114.39,112.5,114.33,1.1904339E7
2018-01-19,113.94,114.34,112.804,113.01,1.8696398E7,0.0,1.0,113.94,114.34,112.804,113.01,1.8696398E7
2018-01-18,112.76,113.7226,112.27,113.26,1.4541044E7,0.0,1.0,112.76,113.7226,112.27,113.26,1.4541044E7
2018-01-17,111.89,113.2958,111.31,112.99,1.4906568E7,0.0,1.0,111.89,113.2958,111.31,112.99,1.4906568E7
