Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,94.94,95.139,88.51,89.47,5.3704562E7,0.0,1.0,94.94,95.139,88.51,89.47,5.3704562E7
2018-03-26,90.61,94.0,90.4,93.78,5.5031149E7,0.0,1.0,90.61,94.0,90.4,93.78,5.5031149E7
2018-03-23,89.5,90.46,87.08,87.18,4.2159397E7,0.0,1.0,89.5,90.46,87.08,87.18,4.2159397E7
2018-03-22,91.265,91.75,89.66,89.79,3.7578166E7,0.0,1.0,91.265,91.75,89.66,89.79,3.7578166E7
2018-03-21,92.93,94.05,92.21,92.48,2.3753263E7,0.0,1.0,92.93,94.05,92.21,92.48,2.3753263E7
2018-03-20,93.05,93.77,93.0,93.13,2.178778E7,0.0,1.0,93.05,93.77,93.0,93.13,2.178778E7
2018-03-19,93.74,93.9,92.11,92.89,3.1752589E7,0.0,1.0,93.74,93.9,92.11,92.89,3.1752589E7
2018-03-16,94.68,95.38,93.92,94.6,4.7329521E7,0.0,1.0,94.68,95.38,93.92,94.6,4.7329521E7
2018-03-15,93.53,94.58,92.83,94.18,2.6279014E7,0.0,1.0,93.53,94.58,92.83,94.18,2.6279014E7
2018-03-14,95.12,95.41,93.5,93.85,3.1576898E7,0.0,1.0,95.12,95.41,93.5,93.85,3.1576898E7
2018-03-13,97.0,97.24,93.97,94.41,3.4445391E7,0.0,1.0,97.0,97.24,93.97,94.41,3.4445391E7
2018-03-12,96.5,97.21,96.04,96.77,2.533372E7,0.0,1.0,96.5,97.21,96.04,96.77,2.533372E7
2018-03-09,95.29,96.54,95.0,96.54,3.6145524E7,0.0,1.0,95.29,96.54,95.0,96.54,3.6145524E7
2018-03-08,94.27,95.1,93.765,94.43,2.4861307E7,0.0,1.0,94.27,95.1,93.765,94.43,2.4861307E7
2018-03-07,93.16,93.9406,92.43,93.86,2.6716127E7,0.0,1.0,93.16,93.9406,92.43,93.86,2.6716127E7
2018-03-06,94.34,94.49,92.941,93.32,2.2175776E7,0.0,1.0,94.34,94.49,92.941,93.32,2.2175776E7
2018-03-05,92.34,94.27,92.26,93.64,2.3901578E7,0.0,1.0,92.34,94.27,92.26,93.64,2.3901578E7
2018-03-02,91.58,93.15,90.86,93.05,3.2830389E7,0.0,1.0,91.58,93.15,90.86,93.05,3.2830389E7
2018-03-01,93.99,94.57,91.84,92.85,3.7135561E7,0.0,1.0,93.99,94.57,91.84,92.85,3.7135561E7
2018-02-28,94.84,95.705,93.63,93.77,2.9314525E7,0.0,1.0,94.84,95.705,93.63,93.77,2.9314525E7
2018-02-27,95.74,95.84,94.2,94.2,2.5540755E7,0.0,1.0,95.74,95.84,94.2,94.2,2.5540755E7
2018-02-26,94.4,95.45,94.25,95.42,2.9760276E7,0.0,1.0,94.4,95.45,94.25,95.42,2.9760276E7
2018-02-23,92.75,94.07,92.36,94.06,2.5779955E7,0.0,1.0,92.75,94.07,92.36,94.06,2.5779955E7
2018-02-22,92.05,92.73,91.36,91.74,2.2723756E7,0.0,1.0,92.05,92.73,91.36,91.74,2.2723756E7
2018-02-21,92.98,93.3595,91.49,91.49,2.6081953E7,0.0,1.0,92.98,93.3595,91.49,91.49,2.6081953E7
2018-02-20,91.475,93.06,91.01,92.72,3.0107057E7,0.0,1.0,91.475,93.06,91.01,92.72,3.0107057E7
2018-02-16,92.45,93.5,91.8,92.0,3.0188535E7,0.0,1.0,92.45,93.5,91.8,92.0,3.0188535E7
2018-02-15,91.21,92.72,90.62,92.66,2.7407914E7,0.0,1.0,91.21,92.72,90.62,92.66,2.7407914E7
2018-02-14,88.51,90.99,88.41,90.81,3.4314101E7,0.0,1.0,88.51,90.99,88.41,90.81,3.4314101E7
2018-02-13,88.93,90.0,87.8,89.83,2.6200053E7,0.0,1.0,88.93,90.0,87.8,89.83,2.6200053E7
2018-02-12,88.735,89.78,87.9295,89.13,3.5501368E7,0.0,1.0,88.735,89.78,87.9295,89.13,3.5501368E7
2018-02-09,86.3,88.93,83.83,88.1,5.740848E7,0.0,1.0,86.3,88.93,83.83,88.1,5.740848E7
2018-02-08,89.71,89.875,84.76,84.89,4.7485202E7,0.0,1.0,89.71,89.875,84.76,84.89,4.7485202E7
2018-02-07,90.49,91.77,89.2,89.61,4.0340551E7,0.0,1.0,90.49,91.77,89.2,89.61,4.0340551E7
2018-02-06,86.89,91.475,85.25,91.33,6.615703E7,0.0,1.0,86.89,91.475,85.25,91.33,6.615703E7
2018-02-05,90.56,93.24,88.08,89.05,4.2253469E7,0.0,1.0,90.56,93.24,88.08,89.05,4.2253469E7
2018-02-02,93.64,93.97,91.5,91.78,4.7076959E7,0.0,1.0,93.64,93.97,91.5,91.78,4.7076959E7
2018-02-01,94.79,96.07,93.5813,94.26,4.6645657E7,0.0,1.0,94.79,96.07,93.5813,94.26,4.6645657E7
2018-01-31,93.75,95.4,93.51,95.01,4.4284284E7,0.0,1.0,93.75,95.4,93.51,95.01,4.4284284E7
2018-01-30,93.3,93.66,92.1,92.74,3.4153798E7,0.0,1.0,93.3,93.66,92.1,92.74,3.4153798E7
2018-01-29,95.14,95.45,93.72,93.92,3.040962E7,0.0,1.0,95.14,95.45,93.72,93.92,3.040962E7
2018-01-26,93.12,94.06,92.58,94.06,2.6348999E7,0.0,1.0,93.12,94.06,92.58,94.06,2.6348999E7
2018-01-25,92.465,93.24,91.93,92.33,2.3983094E7,0.0,1.0,92.465,93.24,91.93,92.33,2.3983094E7
2018-01-24,92.55,93.43,91.58,91.82,3.2107765E7,0.0,1.0,92.55,93.43,91.58,91.82,3.2107765E7
2018-01-23,91.9,92.3,91.54,91.9,2.2283365E7,0.0,1.0,91.9,92.3,91.54,91.9,2.2283365E7
2018-01-22,90.0,91.62,89.74,91.61,2.31907E7,0.0,1.0,90.0,91.62,89.74,91.61,2.31907E7
2018-01-19,90.14,90.61,89.66,90.0,3.4896964E7,0.0,1.0,90.14,90.61,89.66,90.0,3.4896964E7
2018-01-18,89.8,90.67,89.66,90.1,2.2931303E7,0.0,1.0,89.8,90.67,89.66,90.1,2.2931303E7
2018-01-17,89.08,90.28,88.75,90.14,2.4659472E7,0.0,1.0,89.08,90.28,88.75,90.14,2.4659472E7
2018-01-16,90.1,90.79,88.0104,88.35,3.5945428E7,0.0,1.0,90.1,90.79,88.0104,88.35,3.5945428E7
2018-01-12,88.67,89.78,88.45,89.58,2.4000439E7,0.0,1.0,88.67,89.78,88.45,89.58,2.4000439E7
2018-01-11,88.13,88.13,87.24,88.08,1.6529868E7,0.0,1.0,88.13,88.13,87.24,88.08,1.6529868E7
2018-01-10,87.86,88.19,87.41,87.82,1.8129153E7,0.0,1.0,87.86,88.19,87.41,87.82,1.8129153E7
2018-01-09,88.65,88.7272,87.86,88.22,1.9390427E7,0.0,1.0,88.65,88.7272,87.86,88.22,1.9390427E7
2018-01-08,88.2,88.58,87.6046,88.28,2.029393E7,0.0,1.0,88.2,88.58,87.6046,88.28,2.029393E7
2018-01-05,87.66,88.41,87.43,88.19,2.2526563E7,0.0,1.0,87.66,88.41,87.43,88.19,2.2526563E7
2018-01-04,86.59,87.66,86.57,87.11,2.1145985E7,0.0,1.0,86.59,87.66,86.57,87.11,2.1145985E7
2018-01-03,86.055,86.51,85.97,86.35,2.4173064E7,0.0,1.0,86.055,86.51,85.97,86.35,2.4173064E7
2018-01-02,86.125,86.31,85.5,85.95,2.1993101E7,0.0,1.0,86.125,86.31,85.5,85.95,2.1993101E7
