Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-05,200.22,200.76,195.84,196.49,315587.0,0.0,1.0,200.22,200.76,195.84,196.49,315587.0
2017-04-04,197.97,201.0,197.82,199.14,500303.0,0.0,1.0,197.97,201.0,197.82,199.14,500303.0
2017-04-03,198.72,199.65,196.05,196.94,220470.0,0.0,1.0,198.72,199.65,196.05,196.94,220470.0
2017-03-31,199.83,201.11,198.24,199.71,264173.0,0.0,1.0,199.83,201.11,198.24,199.71,264173.0
2017-03-30,200.9,203.13,198.59,199.45,147909.0,0.0,1.0,200.9,203.13,198.59,199.45,147909.0
2017-03-29,198.45,202.89,198.45,201.12,194113.0,0.0,1.0,198.45,202.89,198.45,201.12,194113.0
2017-03-28,198.47,202.33,198.47,199.18,243405.0,0.0,1.0,198.47,202.33,198.47,199.18,243405.0
2017-03-27,195.6,198.41,194.255,198.0,171175.0,0.0,1.0,195.6,198.41,194.255,198.0,171175.0
2017-03-24,196.97,197.69,195.58,196.48,89047.0,0.0,1.0,196.97,197.69,195.58,196.48,89047.0
2017-03-23,194.44,197.07,193.995,196.17,165983.0,0.0,1.0,194.44,197.07,193.995,196.17,165983.0
2017-03-22,194.75,196.24,193.96,195.37,148985.0,0.0,1.0,194.75,196.24,193.96,195.37,148985.0
2017-03-21,199.29,199.29,194.5,195.43,213009.0,0.0,1.0,199.29,199.29,194.5,195.43,213009.0
2017-03-20,199.06,200.41,198.32,198.49,169298.0,0.0,1.0,199.06,200.41,198.32,198.49,169298.0
2017-03-17,199.99,199.99,198.16,198.72,166674.0,0.0,1.0,199.99,199.99,198.16,198.72,166674.0
2017-03-16,200.54,200.54,198.9,199.62,137623.0,0.0,1.0,200.54,200.54,198.9,199.62,137623.0
2017-03-15,201.21,203.47,198.25,200.03,295495.0,0.0,1.0,201.21,203.47,198.25,200.03,295495.0
2017-03-14,202.0,203.76,197.98,200.44,278174.0,0.0,1.0,202.0,203.76,197.98,200.44,278174.0
2017-03-13,202.0,206.24,201.93,202.5,445393.0,0.0,1.0,202.0,206.24,201.93,202.5,445393.0
2017-03-10,197.32,205.69,197.11,202.22,617299.0,0.0,1.0,197.32,205.69,197.11,202.22,617299.0
2017-03-09,194.93,199.05,192.9022,197.78,355903.0,0.0,1.0,194.93,199.05,192.9022,197.78,355903.0
2017-03-08,191.16,195.37,191.15,194.1,206882.0,0.0,1.0,191.16,195.37,191.15,194.1,206882.0
2017-03-07,191.15,191.49,189.65,190.11,139942.0,0.0,1.0,191.15,191.49,189.65,190.11,139942.0
2017-03-06,190.42,192.8,187.595,190.59,222573.0,0.0,1.0,190.42,192.8,187.595,190.59,222573.0
