Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-04-04,105.9,105.92,103.2,104.35,1.0940426E7,0.0,1.0,105.9,105.92,103.2,104.35,1.0940426E7
2016-04-01,102.93,105.79,102.47,105.7,1.4182359E7,0.0,1.0,102.93,105.79,102.47,105.7,1.4182359E7
2016-03-31,102.43,103.53,101.05,102.23,9747539.0,0.0,1.0,102.43,103.53,101.05,102.23,9747539.0
2016-03-30,104.65,104.91,101.4805,102.19,1.4704994E7,0.0,1.0,104.65,104.91,101.4805,102.19,1.4704994E7
2016-03-29,101.08,104.33,101.0,104.13,1.6008868E7,0.0,1.0,101.08,104.33,101.0,104.13,1.6008868E7
2016-03-28,98.34,101.44,97.82,101.21,1.2432217E7,0.0,1.0,98.34,101.44,97.82,101.21,1.2432217E7
2016-03-24,98.64,98.85,97.07,98.36,1.0671139E7,0.0,1.0,98.64,98.85,97.07,98.36,1.0671139E7
2016-03-23,99.75,100.39,98.81,99.59,8313480.0,0.0,1.0,99.75,100.39,98.81,99.59,8313480.0
2016-03-22,100.48,101.52,99.2,99.84,9069905.0,0.0,1.0,100.48,101.52,99.2,99.84,9069905.0
2016-03-21,101.15,102.1,99.5,101.06,9578466.0,0.0,1.0,101.15,102.1,99.5,101.06,9578466.0
2016-03-18,100.5,102.41,100.01,101.12,1.5453454E7,0.0,1.0,100.5,102.41,100.01,101.12,1.5453454E7
2016-03-17,99.05,101.39,99.0,99.72,1.3824964E7,0.0,1.0,99.05,101.39,99.0,99.72,1.3824964E7
2016-03-16,97.53,99.73,97.5,99.35,1.263053E7,0.0,1.0,97.53,99.73,97.5,99.35,1.263053E7
2016-03-15,97.87,98.51,96.43,97.86,9691768.0,0.0,1.0,97.87,98.51,96.43,97.86,9691768.0
2016-03-14,97.2,99.42,97.17,98.13,1.1251874E7,0.0,1.0,97.2,99.42,97.17,98.13,1.1251874E7
2016-03-11,99.51,99.6,96.05,97.66,1.5114299E7,0.0,1.0,99.51,99.6,96.05,97.66,1.5114299E7
2016-03-10,98.18,99.74,95.45,97.36,1.7002063E7,0.0,1.0,98.18,99.74,95.45,97.36,1.7002063E7
2016-03-09,96.82,98.37,95.0,98.0,1.229866E7,0.0,1.0,96.82,98.37,95.0,98.0,1.229866E7
2016-03-08,95.0,98.28,94.5,96.23,1.4710898E7,0.0,1.0,95.0,98.28,94.5,96.23,1.4710898E7
2016-03-07,101.0,101.79,95.25,95.49,2.3906672E7,0.0,1.0,101.0,101.79,95.25,95.49,2.3906672E7
