Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-09-06,1.52,1.65,1.52,1.65,57464.0,0.0,1.0,1.52,1.65,1.52,1.65,57464.0
2016-09-02,1.56,1.56,1.5,1.51,40871.0,0.0,1.0,1.56,1.56,1.5,1.51,40871.0
2016-09-01,1.5,1.5455,1.5,1.54,102601.0,0.0,1.0,1.5,1.5455,1.5,1.54,102601.0
2016-08-31,1.55,1.55,1.5,1.51,50305.0,0.0,1.0,1.55,1.55,1.5,1.51,50305.0
2016-08-30,1.55,1.61,1.53,1.54,111405.0,0.0,1.0,1.55,1.61,1.53,1.54,111405.0
2016-08-29,1.56,1.65,1.52,1.54,137885.0,0.0,1.0,1.56,1.65,1.52,1.54,137885.0
2016-08-26,1.57,1.5799,1.52,1.54,102300.0,0.0,1.0,1.57,1.5799,1.52,1.54,102300.0
2016-08-25,1.56,1.6522,1.55,1.55,55998.0,0.0,1.0,1.56,1.6522,1.55,1.55,55998.0
2016-08-24,1.6,1.6249,1.53,1.55,117364.0,0.0,1.0,1.6,1.6249,1.53,1.55,117364.0
2016-08-23,1.67,1.7,1.61,1.61,53684.0,0.0,1.0,1.67,1.7,1.61,1.61,53684.0
2016-08-22,1.68,1.69,1.65,1.65,34577.0,0.0,1.0,1.68,1.69,1.65,1.65,34577.0
2016-08-19,1.73,1.73,1.67,1.67,74703.0,0.0,1.0,1.73,1.73,1.67,1.67,74703.0
2016-08-18,1.69,1.71,1.69,1.71,44319.0,0.0,1.0,1.69,1.71,1.69,1.71,44319.0
2016-08-17,1.69,1.7169999999999999,1.69,1.69,18299.0,0.0,1.0,1.69,1.7169999999999999,1.69,1.69,18299.0
2016-08-16,1.74,1.74,1.68,1.7,122791.0,0.0,1.0,1.74,1.74,1.68,1.7,122791.0
2016-08-15,1.71,1.71,1.68,1.69,43740.0,0.0,1.0,1.71,1.71,1.68,1.69,43740.0
