Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,60.92,60.92,60.09,60.31,886538.0,0.0,1.0,60.92,60.92,60.09,60.31,886538.0
2018-03-26,60.19,61.08,59.79,60.67,1318452.0,0.0,1.0,60.19,61.08,59.79,60.67,1318452.0
2018-03-23,60.26,61.1329,59.5,59.5,1156048.0,0.0,1.0,60.26,61.1329,59.5,59.5,1156048.0
2018-03-22,60.63,61.68,60.08,60.08,648134.0,0.0,1.0,60.63,61.68,60.08,60.08,648134.0
2018-03-21,60.38,61.4,60.38,61.06,733628.0,0.0,1.0,60.38,61.4,60.38,61.06,733628.0
2018-03-20,61.28,61.48,60.36,60.48,1059752.0,0.0,1.0,61.28,61.48,60.36,60.48,1059752.0
2018-03-19,61.85,62.03,60.69,61.21,1790476.0,0.0,1.0,61.85,62.03,60.69,61.21,1790476.0
2018-03-16,62.4,62.83,61.84,62.2,1399940.0,0.0,1.0,62.4,62.83,61.84,62.2,1399940.0
2018-03-15,63.69,64.01,62.18,62.33,943977.0,0.0,1.0,63.69,64.01,62.18,62.33,943977.0
2018-03-14,63.39,63.86,62.955,63.62,628519.0,0.0,1.0,63.39,63.86,62.955,63.62,628519.0
2018-03-13,64.01,64.7,62.92,63.05,892376.0,0.0,1.0,64.01,64.7,62.92,63.05,892376.0
2018-03-12,64.56,64.83,63.17,63.83,950361.0,0.0,1.0,64.56,64.83,63.17,63.83,950361.0
2018-03-09,64.44,64.53,63.15,64.41,951991.0,0.0,1.0,64.44,64.53,63.15,64.41,951991.0
2018-03-08,64.86,65.16,63.5,64.15,668968.0,0.0,1.0,64.86,65.16,63.5,64.15,668968.0
2018-03-07,63.52,64.53,63.475,64.48,880519.0,0.0,1.0,63.52,64.53,63.475,64.48,880519.0
2018-03-06,64.77,65.19,63.14,63.93,939038.0,0.0,1.0,64.77,65.19,63.14,63.93,939038.0
2018-03-05,63.99,64.73,63.91,64.62,721071.0,0.0,1.0,63.99,64.73,63.91,64.62,721071.0
2018-03-02,62.66,64.23,62.51,64.15,490929.0,0.0,1.0,62.66,64.23,62.51,64.15,490929.0
2018-03-01,64.09,64.65,62.78,63.25,737760.0,0.0,1.0,64.09,64.65,62.78,63.25,737760.0
2018-02-28,65.31,65.52,64.08,64.09,649093.0,0.0,1.0,65.31,65.52,64.08,64.09,649093.0
2018-02-27,66.9,67.02,64.95,64.97,987807.0,0.0,1.0,66.9,67.02,64.95,64.97,987807.0
2018-02-26,66.95,67.05,66.32,66.73,620427.0,0.0,1.0,66.95,67.05,66.32,66.73,620427.0
2018-02-23,65.85,66.9,65.785,66.89,540610.0,0.0,1.0,65.85,66.9,65.785,66.89,540610.0
2018-02-22,66.86,67.16,65.09,65.45,1162601.0,0.0,1.0,66.86,67.16,65.09,65.45,1162601.0
2018-02-21,66.57,67.34,65.53,66.74,773761.0,0.0,1.0,66.57,67.34,65.53,66.74,773761.0
2018-02-20,68.95,68.95,65.98,66.18,2295728.0,0.0,1.0,68.95,68.95,65.98,66.18,2295728.0
2018-02-16,68.6,70.44,68.6,69.38,1794557.0,0.0,1.0,68.6,70.44,68.6,69.38,1794557.0
2018-02-15,66.74,68.4,66.71,68.35,1090504.0,0.0,1.0,66.74,68.4,66.71,68.35,1090504.0
2018-02-14,65.22,67.52,64.82,67.43,1196119.0,0.0,1.0,65.22,67.52,64.82,67.43,1196119.0
2018-02-13,65.51,65.75,64.99,65.41,782818.0,0.0,1.0,65.51,65.75,64.99,65.41,782818.0
2018-02-12,66.21,66.38,65.02,65.78,793045.0,0.0,1.0,66.21,66.38,65.02,65.78,793045.0
2018-02-09,64.73,66.28,63.42,66.04,1139962.0,0.0,1.0,64.73,66.28,63.42,66.04,1139962.0
2018-02-08,65.14,65.14,63.8525,64.0,792517.0,0.0,1.0,65.14,65.14,63.8525,64.0,792517.0
2018-02-07,65.07,66.03,64.9,65.0,638586.0,0.0,1.0,65.07,66.03,64.9,65.0,638586.0
2018-02-06,63.37,65.52,62.26,65.02,1118846.0,0.0,1.0,63.37,65.52,62.26,65.02,1118846.0
2018-02-05,65.76,66.57,64.44,64.62,709396.0,0.0,1.0,65.76,66.57,64.44,64.62,709396.0
2018-02-02,67.95,67.95,65.99,66.2,760953.0,0.0,1.0,67.95,67.95,65.99,66.2,760953.0
2018-02-01,67.51,68.55,67.24,68.06,770609.0,0.0,1.0,67.51,68.55,67.24,68.06,770609.0
2018-01-31,67.72,68.04,67.1,67.56,710177.0,0.0,1.0,67.72,68.04,67.1,67.56,710177.0
2018-01-30,67.74,68.14,67.2,67.42,1813988.0,0.0,1.0,67.74,68.14,67.2,67.42,1813988.0
2018-01-29,68.37,68.41,67.77,67.91,562487.0,0.0,1.0,68.37,68.41,67.77,67.91,562487.0
2018-01-26,69.5,69.5,68.02,68.74,1033919.0,0.0,1.0,69.5,69.5,68.02,68.74,1033919.0
2018-01-25,69.33,69.99,69.02,69.55,558008.0,0.0,1.0,69.33,69.99,69.02,69.55,558008.0
2018-01-24,67.99,69.35,67.84,69.2,725351.0,0.0,1.0,67.99,69.35,67.84,69.2,725351.0
2018-01-23,67.91,68.44,67.65,67.81,596142.0,0.0,1.0,67.91,68.44,67.65,67.81,596142.0
2018-01-22,68.12,68.57,67.79,68.0,763104.0,0.0,1.0,68.12,68.57,67.79,68.0,763104.0
2018-01-19,67.26,68.0,67.2,67.87,485613.0,0.0,1.0,67.26,68.0,67.2,67.87,485613.0
2018-01-18,67.4,67.93,67.11,67.25,696024.0,0.0,1.0,67.4,67.93,67.11,67.25,696024.0
2018-01-17,67.17,67.88,66.96,67.29,459727.0,0.0,1.0,67.17,67.88,66.96,67.29,459727.0
2018-01-16,68.66,69.0,66.85,66.97,846198.0,0.0,1.0,68.66,69.0,66.85,66.97,846198.0
2018-01-12,67.27,68.07,67.05,67.97,742243.0,0.0,1.0,67.27,68.07,67.05,67.97,742243.0
2018-01-11,65.81,67.34,65.75,67.18,704298.0,0.0,1.0,65.81,67.34,65.75,67.18,704298.0
2018-01-10,65.67,65.83,64.72,65.74,678048.0,0.0,1.0,65.67,65.83,64.72,65.74,678048.0
2018-01-09,66.26,66.57,65.66,65.89,574295.0,0.0,1.0,66.26,66.57,65.66,65.89,574295.0
2018-01-08,65.96,66.54,65.25,66.02,936318.0,0.0,1.0,65.96,66.54,65.25,66.02,936318.0
2018-01-05,65.55,65.93,65.25,65.7,753696.0,0.0,1.0,65.55,65.93,65.25,65.7,753696.0
2018-01-04,65.86,65.92,64.86,65.08,829196.0,0.0,1.0,65.86,65.92,64.86,65.08,829196.0
2018-01-03,66.84,67.15,65.32,65.53,570785.0,0.0,1.0,66.84,67.15,65.32,65.53,570785.0
2018-01-02,67.0,67.35,65.96,66.84,854986.0,0.0,1.0,67.0,67.35,65.96,66.84,854986.0
2017-12-29,67.05,67.57,66.54,66.57,617833.0,0.0,1.0,67.05,67.57,66.54,66.57,617833.0
