Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-07-21,91.6442,95.0,91.6442,95.0,2318.0,0.0,1.0,91.6442,95.0,91.6442,95.0,2318.0
2017-07-20,94.5,94.5,93.5,93.5,773.0,0.0,1.0,94.5,94.5,93.5,93.5,773.0
2017-07-19,93.5,95.5,93.5,94.35,4101.0,0.0,1.0,93.5,95.5,93.5,94.35,4101.0
2017-07-18,93.3,96.0,92.85,94.0,5496.0,0.0,1.0,93.3,96.0,92.85,94.0,5496.0
2017-07-17,93.35,93.5,88.9838,92.2499,3025.0,0.0,1.0,93.35,93.5,88.9838,92.2499,3025.0
2017-07-14,91.5,93.0,91.5,93.0,3306.0,0.0,1.0,91.5,93.0,91.5,93.0,3306.0
2017-07-13,91.625,95.0,91.0,92.5,3950.0,0.0,1.0,91.625,95.0,91.0,92.5,3950.0
2017-07-12,91.6,92.0,91.45,91.45,11286.0,0.0,1.0,91.6,92.0,91.45,91.45,11286.0
2017-07-11,91.1,92.0,90.45,91.9989,3042.0,0.0,1.0,91.1,92.0,90.45,91.9989,3042.0
2017-07-10,93.35,93.35,90.40100000000001,91.65,3946.0,0.0,1.0,93.35,93.35,90.40100000000001,91.65,3946.0
2017-07-07,92.0,93.925,90.1,93.0,2826.0,0.0,1.0,92.0,93.925,90.1,93.0,2826.0
2017-07-06,89.5,93.20299999999999,89.5,92.0,5495.0,0.0,1.0,89.5,93.20299999999999,89.5,92.0,5495.0
2017-07-05,89.0,89.0,88.975,88.975,409.0,0.0,1.0,89.0,89.0,88.975,88.975,409.0
2017-07-03,89.8,91.0,87.0,90.95,5827.0,0.0,1.0,89.8,91.0,87.0,90.95,5827.0
2017-06-30,87.45,92.75,86.8,91.3992,16913.0,0.0,1.0,87.45,92.75,86.8,91.3992,16913.0
2017-06-29,88.3,88.45,84.6,87.305,8636.0,0.0,1.0,88.3,88.45,84.6,87.305,8636.0
2017-06-28,88.55,89.6,86.95,88.0,10283.0,0.0,1.0,88.55,89.6,86.95,88.0,10283.0
2017-06-27,89.2,90.55,86.0,88.1,13207.0,0.0,1.0,89.2,90.55,86.0,88.1,13207.0
2017-06-26,89.55,91.0,87.0,91.0,3851.0,0.0,1.0,89.55,91.0,87.0,91.0,3851.0
2017-06-23,91.0,95.75,88.4,90.9992,18484.0,0.0,1.0,91.0,95.75,88.4,90.9992,18484.0
2017-06-22,86.55,92.375,86.55,90.95,11390.0,0.0,1.0,86.55,92.375,86.55,90.95,11390.0
2017-06-21,88.6,89.0,87.5,87.95,2886.0,0.0,1.0,88.6,89.0,87.5,87.95,2886.0
2017-06-20,84.9488,87.0,83.51100000000001,87.0,1958.0,0.0,1.0,84.9488,87.0,83.51100000000001,87.0,1958.0
2017-06-19,89.45,89.45,85.2,85.2,975.0,0.0,1.0,89.45,89.45,85.2,85.2,975.0
2017-06-16,87.3,91.0,87.3,89.45,3081.0,0.0,1.0,87.3,91.0,87.3,89.45,3081.0
2017-06-15,87.8,87.8,84.1,84.1,498.0,0.0,1.0,87.8,87.8,84.1,84.1,498.0
2017-06-14,88.0,90.95,86.55,88.55,3907.0,0.0,1.0,88.0,90.95,86.55,88.55,3907.0
2017-06-13,86.0,87.85,84.2,87.85,1420.0,0.0,1.0,86.0,87.85,84.2,87.85,1420.0
2017-06-12,82.3,86.0,82.3,86.0,1685.0,0.0,1.0,82.3,86.0,82.3,86.0,1685.0
2017-06-09,85.6,89.0,85.6,88.65,2327.0,0.0,1.0,85.6,89.0,85.6,88.65,2327.0
2017-06-08,83.3,85.25,83.3,85.25,545.0,0.0,1.0,83.3,85.25,83.3,85.25,545.0
2017-06-07,88.9,88.9,86.6,87.075,1513.0,0.0,1.0,88.9,88.9,86.6,87.075,1513.0
2017-06-06,90.0,90.0,86.98,89.8,6011.0,0.0,1.0,90.0,90.0,86.98,89.8,6011.0
2017-06-05,91.3248,91.3248,90.5,90.5,671.0,0.0,1.0,91.3248,91.3248,90.5,90.5,671.0
2017-06-02,91.3658,92.05,91.3658,92.0,1518.0,0.0,1.0,91.3658,92.05,91.3658,92.0,1518.0
2017-06-01,92.0,93.8902,91.75,91.75,2852.0,0.0,1.0,92.0,93.8902,91.75,91.75,2852.0
2017-05-31,85.0,92.6,81.8,91.0,21372.0,0.0,1.0,85.0,92.6,81.8,91.0,21372.0
2017-05-30,90.05,92.0,88.4,90.0,4834.0,0.0,1.0,90.05,92.0,88.4,90.0,4834.0
2017-05-26,92.05,96.7,88.65,90.25,17422.0,0.0,1.0,92.05,96.7,88.65,90.25,17422.0
2017-05-25,89.6,92.35,87.5001,91.95,15228.0,0.0,1.0,89.6,92.35,87.5001,91.95,15228.0
2017-05-24,80.25,93.0,80.25,89.0,21218.0,0.0,1.0,80.25,93.0,80.25,89.0,21218.0
2017-05-23,74.65,83.0,74.65,78.55,9273.0,0.0,1.0,74.65,83.0,74.65,78.55,9273.0
2017-05-22,70.95,75.0,70.95,74.95,908.0,0.0,1.0,70.95,75.0,70.95,74.95,908.0
2017-05-19,75.0,75.0,74.75,74.75,508.0,0.0,1.0,75.0,75.0,74.75,74.75,508.0
2017-05-18,70.6,75.0,70.6,73.5,1121.0,0.0,1.0,70.6,75.0,70.6,73.5,1121.0
2017-05-17,75.85,76.1,72.7,73.05,19673.0,0.0,1.0,75.85,76.1,72.7,73.05,19673.0
2017-05-16,74.2,76.95,74.2,75.6,4639.0,0.0,1.0,74.2,76.95,74.2,75.6,4639.0
2017-05-15,69.6,76.0,69.6,73.45,4919.0,0.0,1.0,69.6,76.0,69.6,73.45,4919.0
2017-05-12,70.05,71.7,70.05,70.15,1517.0,0.0,1.0,70.05,71.7,70.05,70.15,1517.0
2017-05-11,71.1,71.95,71.1,71.95,3578.0,0.0,1.0,71.1,71.95,71.1,71.95,3578.0
2017-05-10,75.7,75.7,73.65,74.0,23154.0,0.0,1.0,75.7,75.7,73.65,74.0,23154.0
2017-05-09,72.35,75.5,71.35,75.5,4017.0,0.0,1.0,72.35,75.5,71.35,75.5,4017.0
2017-05-08,71.6,74.15,71.6,74.15,707.0,0.0,1.0,71.6,74.15,71.6,74.15,707.0
2017-05-05,70.2801,71.7,65.75,71.7,7582.0,0.0,1.0,70.2801,71.7,65.75,71.7,7582.0
2017-05-04,69.15,69.65,67.35,69.65,4008.0,0.0,1.0,69.15,69.65,67.35,69.65,4008.0
2017-05-03,71.05,71.75,67.65,70.55,3567.0,0.0,1.0,71.05,71.75,67.65,70.55,3567.0
2017-05-02,77.25,77.25,70.46300000000001,71.75,10129.0,0.0,1.0,77.25,77.25,70.46300000000001,71.75,10129.0
2017-05-01,76.9,77.0,73.55,75.0537,16259.0,0.0,1.0,76.9,77.0,73.55,75.0537,16259.0
2017-04-28,73.54,77.95,73.54,76.25,6596.0,0.0,1.0,73.54,77.95,73.54,76.25,6596.0
2017-04-27,74.15,74.15,71.55,73.8,1642.0,0.0,1.0,74.15,74.15,71.55,73.8,1642.0
2017-04-26,74.5,75.0,73.997,74.5,1596.0,0.0,1.0,74.5,75.0,73.997,74.5,1596.0
2017-04-25,74.5,75.0,74.5,74.85,2451.0,0.0,1.0,74.5,75.0,74.5,74.85,2451.0
2017-04-24,71.65,75.25,68.5,72.25,6456.0,0.0,1.0,71.65,75.25,68.5,72.25,6456.0
2017-04-21,68.8,74.4,68.8,69.8,8319.0,0.0,1.0,68.8,74.4,68.8,69.8,8319.0
2017-04-20,74.0,76.0,63.2,70.35,69883.0,0.0,1.0,74.0,76.0,63.2,70.35,69883.0
2017-04-19,73.2,73.5,72.3257,73.0,6601.0,0.0,1.0,73.2,73.5,72.3257,73.0,6601.0
2017-04-18,75.0,75.0,69.75,72.95,7087.0,0.0,1.0,75.0,75.0,69.75,72.95,7087.0
2017-04-17,72.7285,75.0,71.0,73.5,6923.0,0.0,1.0,72.7285,75.0,71.0,73.5,6923.0
2017-04-13,72.6,72.6,70.9,72.0,2283.0,0.0,1.0,72.6,72.6,70.9,72.0,2283.0
2017-04-12,70.0,71.7497,68.2,71.1401,8251.0,0.0,1.0,70.0,71.7497,68.2,71.1401,8251.0
2017-04-11,69.0,70.5,67.1625,69.6,6638.0,0.0,1.0,69.0,70.5,67.1625,69.6,6638.0
2017-04-10,66.7,70.0,65.5,69.0,3551.0,0.0,1.0,66.7,70.0,65.5,69.0,3551.0
2017-04-07,64.95,67.85,64.4188,67.0,4654.0,0.0,1.0,64.95,67.85,64.4188,67.0,4654.0
2017-04-06,65.95,65.95,64.24,64.75,2366.0,0.0,1.0,65.95,65.95,64.24,64.75,2366.0
2017-04-05,67.4,67.4,63.6062,64.0,10077.0,0.0,1.0,67.4,67.4,63.6062,64.0,10077.0
2017-04-04,71.85,71.85,66.5,67.0,8230.0,0.0,1.0,71.85,71.85,66.5,67.0,8230.0
2017-04-03,75.2,75.25,71.05,72.8,7835.0,0.0,1.0,75.2,75.25,71.05,72.8,7835.0
2017-03-31,73.0135,77.0,73.0135,75.25,13017.0,0.0,1.0,73.0135,77.0,73.0135,75.25,13017.0
2017-03-30,67.4,75.0,67.4,74.9999,43275.0,0.0,1.0,67.4,75.0,67.4,74.9999,43275.0
2017-03-29,67.9,69.4,67.0,68.5,7952.0,0.0,1.0,67.9,69.4,67.0,68.5,7952.0
2017-03-28,60.75,69.445,60.75,67.95,50864.0,0.0,1.0,60.75,69.445,60.75,67.95,50864.0
2017-03-27,58.09,62.2,58.09,61.5,7631.0,0.0,1.0,58.09,62.2,58.09,61.5,7631.0
2017-03-24,54.0,59.25,54.0,57.75,13614.0,0.0,1.0,54.0,59.25,54.0,57.75,13614.0
2017-03-23,57.65,61.0,52.85,54.45,73694.0,0.0,1.0,57.65,61.0,52.85,54.45,73694.0
2017-03-22,59.55,65.05,56.85,57.95,22370.0,0.0,1.0,59.55,65.05,56.85,57.95,22370.0
2017-03-21,60.45,61.85,58.505,60.0,11014.0,0.0,1.0,60.45,61.85,58.505,60.0,11014.0
2017-03-20,63.35,64.4,59.1381,60.5,19819.0,0.0,1.0,63.35,64.4,59.1381,60.5,19819.0
2017-03-17,73.45,73.525,60.1,63.1,30722.0,0.0,1.0,73.45,73.525,60.1,63.1,30722.0
2017-03-16,74.9,76.75,70.2,73.5,4754.0,0.0,1.0,74.9,76.75,70.2,73.5,4754.0
2017-03-15,74.95,77.8753,73.1,74.2,5649.0,0.0,1.0,74.95,77.8753,73.1,74.2,5649.0
2017-03-14,74.6,76.8,72.3,74.55,5428.0,0.0,1.0,74.6,76.8,72.3,74.55,5428.0
2017-03-13,77.0,78.949,72.125,74.45,5190.0,0.0,1.0,77.0,78.949,72.125,74.45,5190.0
2017-03-10,75.9,78.9965,72.4,75.95,8513.0,0.0,1.0,75.9,78.9965,72.4,75.95,8513.0
2017-03-09,74.15,78.05,74.05,75.4,5959.0,0.0,1.0,74.15,78.05,74.05,75.4,5959.0
2017-03-08,77.95,78.391,73.7501,76.6,4063.0,0.0,1.0,77.95,78.391,73.7501,76.6,4063.0
2017-03-07,80.4,80.4,76.75,77.4,9278.0,0.0,1.0,80.4,80.4,76.75,77.4,9278.0
2017-03-06,85.65,89.1205,80.6,80.6,8042.0,0.0,1.0,85.65,89.1205,80.6,80.6,8042.0
2017-03-03,79.05,85.9,78.75,85.9,20356.0,0.0,1.0,79.05,85.9,78.75,85.9,20356.0
2017-03-02,74.45,79.0,72.2732,79.0,5644.0,0.0,1.0,74.45,79.0,72.2732,79.0,5644.0
2017-03-01,71.3,76.35,71.3,73.55,3332.0,0.0,1.0,71.3,76.35,71.3,73.55,3332.0
2017-02-28,69.6,70.3,66.6215,70.3,9727.0,0.0,1.0,69.6,70.3,66.6215,70.3,9727.0
2017-02-27,69.5,72.75,69.5,71.1,3865.0,0.0,1.0,69.5,72.75,69.5,71.1,3865.0
2017-02-24,71.2,71.2,69.5705,70.55,5449.0,0.0,1.0,71.2,71.2,69.5705,70.55,5449.0
2017-02-23,70.4,72.05,70.2,72.0,7015.0,0.0,1.0,70.4,72.05,70.2,72.0,7015.0
2017-02-22,73.8,77.0,73.35,73.5,6221.0,0.0,1.0,73.8,77.0,73.35,73.5,6221.0
2017-02-21,76.85,76.85,74.85,75.0,1104.0,0.0,1.0,76.85,76.85,74.85,75.0,1104.0
2017-02-17,74.3,77.0,74.3,76.85,7307.0,0.0,1.0,74.3,77.0,74.3,76.85,7307.0
2017-02-16,78.0,78.0,72.3014,74.6489,11288.0,0.0,1.0,78.0,78.0,72.3014,74.6489,11288.0
2017-02-15,76.35,78.375,76.35,77.975,3096.0,0.0,1.0,76.35,78.375,76.35,77.975,3096.0
2017-02-14,76.05,78.75,75.0,76.075,3758.0,0.0,1.0,76.05,78.75,75.0,76.075,3758.0
2017-02-13,75.9,78.5,75.0,75.5,7695.0,0.0,1.0,75.9,78.5,75.0,75.5,7695.0
2017-02-10,73.35,77.25,73.35,75.15,3192.0,0.0,1.0,73.35,77.25,73.35,75.15,3192.0
2017-02-09,78.25,78.25,72.05,73.3011,5893.0,0.0,1.0,78.25,78.25,72.05,73.3011,5893.0
2017-02-08,80.5,84.0,76.175,77.75,10633.0,0.0,1.0,80.5,84.0,76.175,77.75,10633.0
2017-02-07,82.0,84.0,79.15,80.655,5872.0,0.0,1.0,82.0,84.0,79.15,80.655,5872.0
2017-02-06,76.3,80.25,75.7,80.25,10344.0,0.0,1.0,76.3,80.25,75.7,80.25,10344.0
2017-02-03,77.3,77.8999,72.45,76.35,8454.0,0.0,1.0,77.3,77.8999,72.45,76.35,8454.0
2017-02-02,64.7,83.8,63.7,80.4893,13767.0,0.0,1.0,64.7,83.8,63.7,80.4893,13767.0
2017-02-01,62.55,65.5,62.55,65.0,3458.0,0.0,1.0,62.55,65.5,62.55,65.0,3458.0
2017-01-31,62.5,62.9,61.0,62.8,5233.0,0.0,1.0,62.5,62.9,61.0,62.8,5233.0
2017-01-30,61.5775,63.3875,58.8765,62.25,4663.0,0.0,1.0,61.5775,63.3875,58.8765,62.25,4663.0
2017-01-27,59.15,62.05,55.0001,61.95,12823.0,0.0,1.0,59.15,62.05,55.0001,61.95,12823.0
2017-01-26,62.25,62.9504,59.0,59.65,10523.0,0.0,1.0,62.25,62.9504,59.0,59.65,10523.0
2017-01-25,64.1,64.1,61.25,62.45,2165.0,0.0,1.0,64.1,64.1,61.25,62.45,2165.0
2017-01-24,62.3,65.7,60.65,63.9,4153.0,0.0,1.0,62.3,65.7,60.65,63.9,4153.0
2017-01-23,70.65,70.8,56.55,63.0,22038.0,0.0,1.0,70.65,70.8,56.55,63.0,22038.0
2017-01-20,73.05,73.05,70.25,71.95,5586.0,0.0,1.0,73.05,73.05,70.25,71.95,5586.0
2017-01-19,71.7,74.525,70.75,73.0,7781.0,0.0,1.0,71.7,74.525,70.75,73.0,7781.0
2017-01-18,70.45,74.7,70.0,70.3,15688.0,0.0,1.0,70.45,74.7,70.0,70.3,15688.0
2017-01-17,68.15,70.0,66.7501,70.0,10825.0,0.0,1.0,68.15,70.0,66.7501,70.0,10825.0
2017-01-13,63.6,69.346,63.6,69.1578,14733.0,0.0,1.0,63.6,69.346,63.6,69.1578,14733.0
2017-01-12,64.05,64.2,61.65,63.8,5145.0,0.0,1.0,64.05,64.2,61.65,63.8,5145.0
2017-01-11,60.85,64.15,60.85,64.15,7635.0,0.0,1.0,60.85,64.15,60.85,64.15,7635.0
2017-01-10,60.25,61.0,59.025,59.95,7162.0,0.0,1.0,60.25,61.0,59.025,59.95,7162.0
2017-01-09,60.0,60.05,57.3448,59.9,4892.0,0.0,1.0,60.0,60.05,57.3448,59.9,4892.0
2017-01-06,59.8,59.8,57.1398,59.0,3840.0,0.0,1.0,59.8,59.8,57.1398,59.0,3840.0
2017-01-05,56.0,61.5375,52.0,58.0,19831.0,0.0,1.0,56.0,61.5375,52.0,58.0,19831.0
2017-01-04,53.5,55.95,51.1163,55.95,16084.0,0.0,1.0,53.5,55.95,51.1163,55.95,16084.0
2017-01-03,53.55,55.95,51.95,53.0,4627.0,0.0,1.0,53.55,55.95,51.95,53.0,4627.0
2016-12-30,49.1,53.5,45.6225,53.5,17912.0,0.0,1.0,49.1,53.5,45.6225,53.5,17912.0
2016-12-29,51.5,53.8999,47.45,49.1,35349.0,0.0,1.0,51.5,53.8999,47.45,49.1,35349.0
2016-12-28,58.0,59.883,51.75,51.8,19296.0,0.0,1.0,58.0,59.883,51.75,51.8,19296.0
2016-12-27,53.55,58.635,53.55,57.751999999999995,21446.0,0.0,1.0,53.55,58.635,53.55,57.751999999999995,21446.0
2016-12-23,52.3,55.0,52.1,53.8,5318.0,0.0,1.0,52.3,55.0,52.1,53.8,5318.0
2016-12-22,51.55,54.5,51.0,52.65,20114.0,0.0,1.0,51.55,54.5,51.0,52.65,20114.0
2016-12-21,45.45,52.9,44.75,51.5,22751.0,0.0,1.0,45.45,52.9,44.75,51.5,22751.0
2016-12-20,47.7,49.0,41.7001,45.25,16763.0,0.0,1.0,47.7,49.0,41.7001,45.25,16763.0
2016-12-19,53.95,58.45,47.0,48.0,38231.0,0.0,1.0,53.95,58.45,47.0,48.0,38231.0
2016-12-16,47.35,53.95,47.35,53.95,31112.0,0.0,1.0,47.35,53.95,47.35,53.95,31112.0
2016-12-15,44.2,47.2,44.0,46.85,22010.0,0.0,1.0,44.2,47.2,44.0,46.85,22010.0
2016-12-14,41.05,45.1,41.05,43.8,16639.0,0.0,1.0,41.05,45.1,41.05,43.8,16639.0
2016-12-13,41.75,41.85,39.7,41.85,14901.0,0.0,1.0,41.75,41.85,39.7,41.85,14901.0
2016-12-12,42.05,43.175,40.2136,42.0,15106.0,0.0,1.0,42.05,43.175,40.2136,42.0,15106.0
2016-12-09,42.1,44.0,40.325,42.5,23520.0,0.0,1.0,42.1,44.0,40.325,42.5,23520.0
2016-12-08,37.0,42.0,36.0,41.55,57432.0,0.0,1.0,37.0,42.0,36.0,41.55,57432.0
