Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-28,22.96,22.96,22.06,22.23,112747.0,0.0,1.0,22.494123240915,22.494123240915,21.612384960565,21.778935524631,112747.0
2015-01-27,22.53,22.89,22.2401,22.83,83893.0,0.0,1.0,22.072848284748,22.425543596887998,21.788830587554997,22.366761044864003,83893.0
2015-01-26,22.52,22.85,22.35,22.79,77604.0,0.0,1.0,22.063051192744002,22.386355228872,21.896500628678,22.327572676848998,77604.0
2015-01-23,22.57,22.67,22.23,22.47,86288.0,0.0,1.0,22.112036652763,22.210007572802,21.778935524631,22.014065732725,86288.0
2015-01-22,21.8,22.6,21.6,22.53,117664.0,0.0,1.0,21.357660568465,22.141427928775002,21.161718728387,22.072848284748,117664.0
2015-01-21,21.5,21.81,21.44,21.6,88343.0,0.0,1.0,21.063747808348,21.367457660468,21.004965256325,21.161718728387,88343.0
2015-01-20,21.93,21.99,21.41,21.62,114126.0,0.0,1.0,21.485022764514998,21.543805316538,20.975573980313,21.181312912395,114126.0
2015-01-16,21.23,21.95,21.23,21.93,128168.0,0.0,1.0,20.799226324243,21.504616948523,20.799226324243,21.485022764514998,128168.0
2015-01-15,21.81,21.81,21.0,21.3,90917.0,0.0,1.0,21.367457660468,21.367457660468,20.573893208153997,20.86780596827,90917.0
2015-01-14,21.46,21.97,21.46,21.81,97048.0,0.0,1.0,21.024559440332002,21.524211132531,21.024559440332002,21.367457660468,97048.0
2015-01-13,21.45,21.99,21.37,21.79,143390.0,0.0,1.0,21.014762348329,21.543805316538,20.936385612298,21.347863476461,143390.0
2015-01-12,21.34,21.44,20.99,21.37,144534.0,0.0,1.0,20.906994336285997,21.004965256325,20.56409611615,20.936385612298,144534.0
2015-01-09,21.5,21.5,21.19,21.41,106019.0,0.0,1.0,21.063747808348,21.063747808348,20.760037956228,20.975573980313,106019.0
2015-01-08,21.14,21.57,20.96,21.56,165512.0,0.0,1.0,20.711052496208,21.132327452374998,20.534704840137998,21.122530360371,165512.0
2015-01-07,21.05,21.14,20.69,21.04,132649.0,0.0,1.0,20.622878668173,20.711052496208,20.270183356034,20.613081576168998,132649.0
2015-01-06,21.21,21.24,20.4918,20.85,125906.0,0.0,1.0,20.779632140234998,20.809023416247,20.076004992517,20.426936828096,125906.0
2015-01-05,21.8,21.93,21.11,21.185,145848.0,0.0,1.0,21.357660568465,21.485022764514998,20.681661220197,20.755139410226,145848.0
2015-01-02,22.55,22.68,21.6,21.93,90723.0,0.0,1.0,22.092442468755998,22.219804664806,21.161718728387,21.485022764514998,90723.0
2014-12-31,22.45,22.75,22.35,22.39,101724.0,0.0,1.0,21.994471548716998,22.288384308833,21.896500628678,21.935688996694,101724.0
2014-12-30,22.26,22.49,22.1,22.34,90857.0,0.0,1.0,21.808326800643,22.033659916732002,21.651573328580998,21.886703536674,90857.0
2014-12-29,22.34,22.5,22.21,22.3,72963.0,0.0,1.0,21.886703536674,22.043457008736,21.759341340623997,21.847515168659,72963.0
2014-12-26,22.33,22.64,22.26,22.37,54826.0,0.0,1.0,21.87690644467,22.180616296791,21.808326800643,21.916094812686,54826.0
2014-12-24,22.24,22.49,22.07,22.41,52619.0,0.0,1.0,21.788732616635,22.033659916732002,21.622182052569,21.955283180701,52619.0
2014-12-23,22.11,22.27,21.96,22.17,71193.0,0.0,1.0,21.661370420584998,21.818123892646998,21.514414040527,21.720152972608,71193.0
2014-12-22,21.64,21.9,21.44,21.89,141112.0,0.0,1.0,21.200907096402,21.455631488503002,21.004965256325,21.445834396499,141112.0
2014-12-19,21.91,22.29,21.57,21.66,509744.0,0.0,1.0,21.465428580506998,21.837718076655,21.132327452374998,21.22050128041,509744.0
2014-12-18,21.85,22.17,21.64,21.96,171409.0,0.0,1.0,21.406646028484,21.720152972608,21.200907096402,21.514414040527,171409.0
2014-12-17,20.97,21.63,20.68,21.54,190493.0,0.0,1.0,20.544501932142,21.191110004399,20.26038626403,21.102936176364,190493.0
2014-12-16,20.83,21.44,20.83,20.97,149293.0,0.0,1.0,20.407342644088,21.004965256325,20.407342644088,20.544501932142,149293.0
2014-12-15,21.06,21.41,20.66,20.89,187225.0,0.0,1.0,20.632675760177,20.975573980313,20.240792080022,20.466125196111,187225.0
2014-12-12,20.98,21.41,20.9,20.92,144540.0,0.0,1.0,20.554299024145998,20.975573980313,20.475922288115,20.495516472123,144540.0
2014-12-11,21.27,21.96,21.26,21.28,129820.0,0.0,1.0,20.838414692259,21.514414040527,20.828617600255,20.848211784263,129820.0
2014-12-10,21.58,21.9,21.13,21.15,141946.0,0.0,1.0,21.142124544379,21.455631488503002,20.701255404203998,20.720849588211998,141946.0
2014-12-09,20.7,21.72,20.67,21.69,167395.0,0.0,1.0,20.279980448037,21.279283832433,20.250589172026,21.249892556422,167395.0
2014-12-08,21.04,21.35,20.82,20.97,154603.0,0.0,1.0,20.613081576168998,20.91679142829,20.397545552084,20.544501932142,154603.0
2014-12-05,20.74,21.37,20.74,21.17,163204.0,0.0,1.0,20.319168816053,20.936385612298,20.319168816053,20.74044377222,163204.0
2014-12-04,20.77,20.77,20.57,20.73,198115.0,0.0,1.0,20.348560092065,20.348560092065,20.152618251987,20.309371724049,198115.0
2014-12-03,20.75,20.9,20.67,20.79,165495.0,0.0,1.0,20.328965908057,20.475922288115,20.250589172026,20.368154276071998,165495.0
2014-12-02,20.54,20.8,20.54,20.65,377999.0,0.0,1.0,20.123226975975,20.377951368076,20.123226975975,20.230994988018,377999.0
